Sr_No,City,Make,Model,Variant,CC,CC_Range,Fuel,Discount,Year,Registration
11,Mumbai,Maruti,ERTIGA,ZXI PLUS (1462 CC) - PETROL,1373,1001-1500,Petrol,20%,2024 (SAOD),MH03EL0618
12,Mumbai,Hyundai,i10,ERA 1.2 KAPPA VTVT (1197 CC) - PETROL,1197,1001-1500,Petrol,0%,2022 (3-5 Years),MH03DX1793
13,Mumbai,Hyundai,CRETA,1.5 MPI MT SX (1497 CC),1497,1001-1500,Petrol,0%,2022 (3-5 Years),MH01DX8391
14,Mumbai,KIA,SELTOS,1.5 HTX IVT PETROL (1497 CC) - PETROL,1353,1001-1500,Petrol,0%,2022 (3-5 Years),MH01EB1463
15,Mumbai,Mahindra,SCORPIO,S11 2WD BSVI (2179 CC) - DIESEL,2179,>1500,Diesel,0%,2022 (3-5 Years),MH03EB1846
16,Mumbai,Mahindra,XUV 700,AX 3 MT DIESEL 7 STR (2184 CC),2184,>1500,Diesel,0%,2022 (3-5 Years),MH01DX7065
17,Mumbai,Maruti,ERTIGA,ZXI PLUS (1462 CC) - PETROL,1373,1001-1500,Petrol,0%,2022 (3-5 Years),MH03DX6999
18,Mumbai,Toyota,INNOVA CRYSTA,2.4 VX 7 STR (2393 CC) - DIESEL,2393,>1500,Diesel,0%,2022 (3-5 Years),MH03DX6355
19,Mumbai,Hyundai,CRETA,1.5 MPI MT SX (1497 CC),1497,1001-1500,Petrol,20%,2022 (3-5 Years),MH02FU0901
20,Mumbai,KIA,SELTOS,1.5 HTX IVT PETROL (1497 CC) - PETROL,1353,1001-1500,Petrol,20%,2022 (3-5 Years),MH01EB0764
